City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Weather Description
0,Hami,CN,42.8,93.45,24.3,62,0,1.79,clear sky
1,Lata,PT,40.1629,-8.3327,53.82,95,54,0.36,broken clouds
2,Albany,US,42.6001,-73.9662,38.57,54,5,1.99,clear sky
3,Lompoc,US,34.6391,-120.4579,63.57,90,90,0.0,overcast clouds
4,Ilulissat,GL,69.2167,-51.1,17.62,62,20,28.77,few clouds
5,Longyearbyen,SJ,78.2186,15.6401,33.64,64,40,19.57,scattered clouds
6,Maldonado,UY,-34.6667,-54.9167,74.59,54,56,12.95,broken clouds
7,Mataura,NZ,-46.1927,168.8643,58.48,99,100,2.64,overcast clouds
8,Fortuna,US,40.5982,-124.1573,49.12,100,90,0.0,overcast clouds
9,Cidreira,BR,-30.1811,-50.2056,70.84,70,33,18.25,scattered clouds
10,Punta Arenas,CL,-53.15,-70.9167,57.31,41,75,32.21,broken clouds
11,Nouadhibou,MR,20.931,-17.0347,67.98,73,21,14.97,few clouds
12,Yellowknife,CA,62.456,-114.3525,-5.71,87,90,14.97,light snow
13,Homer,US,59.6425,-151.5483,12.07,85,1,3.44,clear sky
14,Port Alfred,ZA,-33.5906,26.891,64.35,75,100,9.93,overcast clouds
15,Touros,BR,-5.1989,-35.4608,86.9,70,100,13.6,overcast clouds
16,Hobart,AU,-42.8794,147.3294,53.46,74,75,1.01,light intensity shower rain
17,Rikitea,PF,-23.1203,-134.9692,76.23,75,3,16.82,clear sky
18,Port Blair,IN,11.6667,92.75,79.41,83,4,7.54,clear sky
19,Kodiak,US,57.79,-152.4072,6.31,85,1,4.61,clear sky
20,Avarua,CK,-21.2078,-159.775,78.85,83,100,6.91,light rain
21,Qaanaaq,GL,77.484,-69.3632,10.92,92,100,1.95,overcast clouds
22,Mahibadhoo,MV,3.7833,72.9667,82.15,76,5,5.95,clear sky
23,Ahipara,NZ,-35.1667,173.1667,64.72,89,100,8.03,light rain
24,Ambilobe,MG,-13.2,49.05,78.13,70,0,6.58,clear sky
25,Noyabrsk,RU,63.1994,75.4507,0.27,96,100,9.42,overcast clouds
26,Verkhnyaya Inta,RU,65.9811,60.3094,-2.25,98,100,9.75,light snow
27,Prince George,CA,53.9166,-122.753,29.25,66,1,1.01,clear sky
28,Kavieng,PG,-2.5744,150.7967,82.09,78,25,8.12,scattered clouds
29,Karratha,AU,-20.7377,116.8463,84.76,36,5,11.25,clear sky
30,Butaritari,KI,3.0707,172.7902,82.85,65,97,14.34,overcast clouds
31,New Norfolk,AU,-42.7826,147.0587,53.1,66,100,4.0,overcast clouds
32,Busselton,AU,-33.65,115.3333,53.04,76,0,12.37,clear sky
33,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,69,75,11.5,broken clouds
34,San Ramon,US,37.7799,-121.978,59.43,89,90,3.44,mist
35,Vaini,TO,-21.2,-175.2,78.96,89,40,8.05,light rain
36,Khani,GE,41.9563,42.9566,35.17,57,0,7.34,clear sky
37,Khatanga,RU,71.9667,102.5,-18.54,99,100,14.0,light snow
38,Shingu,JP,33.7333,135.9833,45.3,85,12,6.11,few clouds
39,Coihaique,CL,-45.5752,-72.0662,67.95,34,0,3.44,clear sky
40,Kisangani,CD,0.5167,25.2,72.3,97,100,0.92,moderate rain
41,Barrow,US,71.2906,-156.7887,-18.38,69,1,20.71,clear sky
